Format: Draw Number, Draw Date (yyyymmdd), Winning Number 1,2,3,4,5,6, Powerball, Division 1,2,3,4,5,6,7,8
"877","20130307","8","16","26","29","19","25","5","$3,000,000.00","$100,698.10","$4,482.80","$192.05","$61.05","$37.50","$25.45","$13.65"
"878","20130314","37","5","35","30","9","23","18","$0.00","$96,860.10","$9,211.85","$169.05","$73.75","$41.00","$27.45","$14.05"
"879","20130321","22","3","26","38","34","32","18","$0.00","$103,582.15","$9,030.25","$217.45","$70.90","$43.15","$28.40","$14.65"
"880","20130328","28","5","26","27","2","21","19","$0.00","$53,719.00","$4,322.95","$150.50","$54.70","$36.20","$24.45","$13.20"
"881","20130404","34","39","21","38","35","7","5","$0.00","$0.00","$13,598.10","$215.85","$68.85","$41.60","$27.35","$14.40"
"882","20130411","28","35","24","40","4","7","12","$0.00","$208,884.20","$6,070.15","$175.95","$62.30","$38.45","$25.90","$13.60"
"883","20130418","32","29","25","33","34","20","2","$0.00","$144,949.15","$6,593.00","$201.90","$68.50","$42.15","$28.05","$14.55"
"884","20130425","26","13","22","18","4","17","20","$0.00","$91,380.75","$5,180.20","$158.95","$58.00","$37.45","$24.70","$13.50"
"885","20130502","34","37","23","10","4","39","20","$31,027,691.70","$46,203.50","$6,250.35","$190.60","$68.90","$40.30","$27.70","$13.95"
"886","20130509","33","2","26","23","30","4","4","$0.00","$100,715.40","$8,104.90","$243.30","$68.10","$39.60","$28.65","$13.85"
"887","20130516","24","26","31","23","40","4","13","$0.00","$64,822.90","$4,597.60","$189.50","$65.30","$37.25","$27.90","$12.90"
"888","20130523","6","26","14","27","10","1","7","$10,000,000.00","$56,382.95","$4,915.45","$157.85","$58.40","$36.65","$25.10","$13.05"
"889","20130530","29","10","26","34","37","19","16","$0.00","$50,609.90","$7,302.85","$193.40","$67.65","$40.65","$26.30","$14.45"
"890","20130606","29","16","20","26","5","14","8","$0.00","$115,216.35","$5,879.70","$194.10","$60.90","$37.70","$25.85","$13.45"
"891","20130613","11","38","12","25","24","13","7","$10,000,000.00","$144,214.25","$5,486.20","$176.75","$65.45","$37.30","$27.15","$13.10"
"892","20130620","33","8","37","19","5","17","14","$0.00","$48,483.45","$6,996.00","$179.10","$62.65","$38.60","$24.70","$13.90"
"893","20130627","25","3","4","10","28","32","9","$0.00","$0.00","$8,599.25","$156.90","$69.95","$40.40","$27.70","$13.85"
"894","20130704","23","17","8","16","14","1","11","$0.00","$308,173.40","$4,416.40","$186.30","$61.15","$37.75","$25.75","$13.05"
"895","20130711","21","15","10","9","35","38","9","$0.00","$42,212.20","$7,473.30","$188.40","$62.45","$39.60","$26.30","$14.00"
"896","20130718","26","30","36","32","29","15","4","$30,000,000.00","$66,080.65","$7,406.85","$200.95","$72.70","$41.35","$27.40","$14.40"
"897","20130725","6","28","20","7","40","23","15","$0.00","$102,398.35","$6,695.30","$166.50","$58.80","$37.20","$24.95","$13.20"
"898","20130801","4","24","29","23","16","18","8","$0.00","$124,041.40","$6,179.35","$181.30","$61.05","$36.85","$25.15","$13.35"
"899","20130808","23","1","20","25","22","8","12","$0.00","$96,886.55","$6,334.90","$189.00","$64.40","$38.15","$25.85","$13.45"
"900","20130815","12","9","3","27","23","14","12","$20,000,000.00","$110,395.45","$4,914.50","$157.50","$54.95","$35.35","$23.60","$13.15"
"901","20130822","15","37","32","6","24","10","11","$0.00","$98,729.25","$7,123.15","$198.00","$70.70","$41.55","$30.25","$13.75"
"902","20130829","29","6","4","34","3","39","7","$0.00","$113,720.90","$7,210.30","$209.40","$64.90","$37.80","$28.75","$13.40"
"903","20130905","12","2","10","16","14","20","8","$0.00","$30,159.10","$3,847.70","$164.80","$61.25","$37.90","$25.15","$13.60"
"904","20130912","5","36","29","15","40","22","4","$0.00","$88,096.15","$5,358.25","$143.70","$62.45","$40.45","$24.35","$14.15"
"905","20130919","9","7","4","20","29","19","12","$30,000,000.00","$19,622.25","$4,650.85","$151.65","$55.45","$35.55","$22.75","$13.05"
"906","20130926","17","23","7","9","40","12","8","$0.00","$203,553.20","$7,343.05","$161.90","$58.10","$36.15","$23.30","$13.15"
"907","20131003","18","10","9","33","31","30","10","$0.00","$26,745.95","$10,072.95","$227.35","$65.70","$38.25","$29.00","$13.45"
"908","20131010","39","4","19","32","13","27","16","$0.00","$155,817.85","$6,269.60","$189.60","$67.80","$41.75","$26.75","$14.35"
"909","20131017","30","4","19","12","13","8","2","$0.00","$35,826.65","$4,942.45","$144.85","$59.60","$38.55","$22.85","$14.15"
"910","20131024","12","2","20","14","38","30","15","$30,000,000.00","$91,218.15","$6,291.95","$182.75","$64.25","$39.75","$26.30","$14.10"
"911","20131031","36","13","28","4","34","17","19","$3,000,000.00","$190,912.55","$6,241.35","$201.45","$63.10","$38.85","$26.90","$13.60"
"912","20131107","27","14","34","9","13","25","15","$0.00","$65,470.65","$6,628.30","$211.85","$68.35","$41.05","$27.50","$14.15"
"913","20131114","8","5","16","15","18","29","19","$0.00","$57,971.05","$5,390.80","$148.15","$56.95","$35.80","$22.35","$13.35"
"914","20131121","1","16","27","34","19","10","10","$0.00","$98,886.70","$5,350.90","$215.70","$59.80","$37.60","$27.10","$13.55"
"915","20131128","22","37","20","12","23","18","5","$0.00","$55,521.30","$5,906.85","$172.05","$66.70","$38.90","$26.05","$13.70"
"916","20131205","16","37","11","4","21","6","3","$0.00","$78,139.90","$7,298.80","$189.10","$65.70","$38.60","$25.95","$13.85"
"917","20131212","33","24","40","16","39","37","1","$0.00","$121,327.65","$7,253.00","$188.90","$69.60","$42.80","$27.45","$15.15"
"918","20131219","12","35","10","32","30","11","10","$0.00","$135,994.60","$7,732.15","$214.30","$64.65","$38.50","$27.55","$13.65"
"919","20131226","16","39","7","35","3","25","13","$50,000,000.00","$99,768.85","$6,958.25","$186.65","$65.45","$38.75","$27.30","$13.40"
"920","20140102","8","38","36","29","13","4","3","$0.00","$0.00","$9,767.75","$160.10","$65.00","$39.40","$24.65","$13.90"
"921","20140109","24","14","18","20","29","19","11","$0.00","$48,853.00","$5,555.20","$190.90","$57.30","$34.75","$24.55","$12.55"
"922","20140116","19","27","37","34","33","26","20","$0.00","$69,330.85","$5,849.25","$196.75","$64.20","$38.60","$27.25","$13.35"
"923","20140123","28","9","24","14","7","31","11","$7,500,000.00","$76,864.10","$4,963.70","$168.05","$57.00","$35.40","$24.30","$12.70"
"924","20140130","9","29","32","14","15","13","17","$0.00","$48,893.35","$6,200.00","$189.30","$65.55","$39.30","$27.40","$13.65"
"925","20140206","13","7","22","3","5","10","15","$0.00","$15,259.80","$4,276.10","$104.15","$50.20","$33.35","$18.80","$12.85"
"926","20140213","34","11","24","6","8","13","7","$5,000,000.00","$12,575.00","$4,154.35","$177.30","$57.15","$34.95","$24.55","$12.55"
"927","20140220","6","40","25","29","26","4","18","$0.00","$96,345.20","$6,299.50","$228.05","$65.25","$40.00","$26.50","$13.65"
"928","20140227","34","1","18","30","22","14","17","$6,000,000.00","$226,799.95","$6,412.65","$182.90","$66.90","$42.05","$26.90","$14.30"
"929","20140306","38","26","28","20","24","21","15","$0.00","$36,883.60","$6,652.75","$198.55","$67.55","$39.60","$26.55","$13.75"
"930","20140313","3","31","37","9","38","4","6","$0.00","$52,458.10","$5,628.65","$221.85","$70.90","$41.35","$30.75","$13.55"
"931","20140320","39","34","11","20","22","27","6","$0.00","$287,059.15","$5,888.40","$172.10","$62.50","$39.25","$24.65","$13.85"
"932","20140327","21","39","2","34","15","19","10","$0.00","$69,824.25","$5,890.90","$188.80","$66.70","$39.85","$26.65","$13.65"
"933","20140403","29","27","18","32","28","16","2","$0.00","$60,057.20","$6,575.15","$196.75","$66.90","$40.30","$25.70","$14.05"
"934","20140410","36","38","21","39","29","22","12","$40,000,000.00","$22,598.20","$6,399.15","$177.00","$63.20","$37.10","$26.55","$13.00"
"935","20140417","16","8","11","20","23","29","9","$0.00","$40,893.10","$3,961.15","$127.05","$55.95","$35.40","$22.35","$13.00"
"936","20140424","33","36","8","15","21","19","3","$6,000,000.00","$124,846.35","$5,557.80","$236.20","$62.00","$38.85","$25.05","$13.65"
"937","20140501","21","36","28","33","37","5","2","$0.00","$194,934.30","$5,998.00","$190.90","$68.35","$43.20","$26.85","$15.05"
"938","20140508","13","21","8","28","34","7","4","$6,000,000.00","$44,145.60","$6,240.95","$127.50","$58.05","$36.10","$21.15","$13.10"
